INFO 2025-01-13 23:33:39,599 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1735125409.5355663
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\forms\models.py first seen with mtime 1735125411.0794327
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1735125409.7280207
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\core\serializers\json.py first seen with mtime 1735125411.0123384
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1735125410.470391
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1735125409.5355663
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\asyncio\log.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\Django Ч копи€\metronom\views.py first seen with mtime 1736800166.1124837
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1735125411.0526252
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\core\exceptions.py first seen with mtime 1735125410.980407
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\middleware\cache.py first seen with mtime 1735125411.0998807
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\message.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\asyncio\exceptions.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1735125409.5355663
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1735125409.4268696
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1735125411.1214087
DEBUG 2025-01-13 23:33:39,729 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1735125409.8176942
DEBUG 2025-01-13 23:33:39,735 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1735125410.1755483
DEBUG 2025-01-13 23:33:39,735 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1735125410.9962347
DEBUG 2025-01-13 23:33:39,735 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\core\files\utils.py first seen with mtime 1735125410.9962347
DEBUG 2025-01-13 23:33:39,735 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\asyncio\streams.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,735 autoreload File C:\Users\User\Django Ч копи€\my_site\settings.py first seen with mtime 1736800419.0538933
DEBUG 2025-01-13 23:33:39,735 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\core\files\move.py first seen with mtime 1735125410.9962347
DEBUG 2025-01-13 23:33:39,735 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\tokenize.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,736 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\asyncio\__init__.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,736 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\re\_casefix.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,736 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1735125411.0592167
DEBUG 2025-01-13 23:33:39,736 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1735125411.1468544
DEBUG 2025-01-13 23:33:39,736 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1735125411.1468544
DEBUG 2025-01-13 23:33:39,736 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1735125411.0285742
DEBUG 2025-01-13 23:33:39,736 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1735125411.0285742
DEBUG 2025-01-13 23:33:39,736 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\_markupbase.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,736 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1735125409.4268696
DEBUG 2025-01-13 23:33:39,736 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1735125410.9962347
DEBUG 2025-01-13 23:33:39,736 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\template\base.py first seen with mtime 1735125411.1158235
DEBUG 2025-01-13 23:33:39,736 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1735125411.1214087
DEBUG 2025-01-13 23:33:39,736 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1735125411.1468544
DEBUG 2025-01-13 23:33:39,736 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1735125408.9675305
DEBUG 2025-01-13 23:33:39,739 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\warnings.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,739 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\mime\base.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,739 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1735125411.1214087
DEBUG 2025-01-13 23:33:39,739 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\DLLs\_queue.pyd first seen with mtime 1725643928.0
DEBUG 2025-01-13 23:33:39,739 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\http\__init__.py first seen with mtime 1735125411.0998807
DEBUG 2025-01-13 23:33:39,739 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\DLLs\unicodedata.pyd first seen with mtime 1725643928.0
DEBUG 2025-01-13 23:33:39,739 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1735125411.0592167
DEBUG 2025-01-13 23:33:39,739 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1735125411.0123384
DEBUG 2025-01-13 23:33:39,739 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\__init__.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,739 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1735125408.1225753
DEBUG 2025-01-13 23:33:39,740 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\middleware\common.py first seen with mtime 1735125411.0998807
DEBUG 2025-01-13 23:33:39,740 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_events.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,740 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\backends\sqlite3\creation.py first seen with mtime 1735125411.0502212
DEBUG 2025-01-13 23:33:39,740 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1735125411.0684114
DEBUG 2025-01-13 23:33:39,740 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\generator.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,740 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\_compat_pickle.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,740 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\argparse.py first seen with mtime 1725643874.0
DEBUG 2025-01-13 23:33:39,740 autoreload File C:\Users\User\Django\.venv\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1735125411.0123384
DEBUG 2025-01-13 23:33:39,740 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\pathlib.py first seen with mtime 1725643874.0
